Sector,Project Title,Project ID,Project Status,Year,Closing Year,Duration(in months),Commitment Amount(in million)
Roads and highways,ANDHRA PRADESH DISTRICT POVERTY INITIATIVES PROJECT,P045049,Closed,"April 11, 2000",2006-12-31,81,111.00
Roads and highways,INTEGRATED WATERSHED DEVELOPMENT PROJECT,P041264,Closed,"June 15, 1999",2005-09-30,76,85.00
Roads and highways,Tamil Nadu Urban Development Project (02),P050637,Closed,"May 27, 1999",2004-11-30,67,105.00
Roads and highways,Uttar Pradesh Sodic Lands Reclamation Project (02),P050646,Closed,"December 15, 1998",2007-09-30,107,194.10
Roads and highways,Diversified Agricultural Support Project (DASP),P035824,Closed,"June 30, 1998",2004-03-31,70,79.90
Roads and highways,Andhra Pradesh Economic Restructuring Project,P049385,Closed,"June 25, 1998",2006-03-31,94,301.30
Roads and highways,Andhra Pradesh State Highway Project,P009995,Closed,"June 17, 1997",2004-06-30,85,350.00
Roads and highways,Andhra Pradesh Hazard Mitigation and Emergency Cyclone Recovery Project,P049301,Closed,"May 6, 1997",2003-07-31,75,40.00
Roads and highways,Private Infrastructure Finance (IL&FS) Project,P039935,Closed,"March 28, 1996",2001-09-30,67,31.00
Roads and highways,Assam Rural Infrastructure and Agricultural Services Project,P010522,Closed,"May 25, 1995",2004-06-30,110,126.00
Roads and highways,Bihar Plateau Development Project,P010408,Closed,"November 19, 1992",2000-06-30,92,117.00
Roads and highways,Agricultural Development Project - Rajasthan,P010407,Closed,"November 12, 1992",2000-09-30,95,106.00
Roads and highways,National Highway Project (02),P009946,Closed,"May 12, 1992",2002-12-31,129,153.00
Health,Systems Reform Endeavours for Transformed Health Achievement in Gujarat (SRESTHA-G),P178252,Active,"September 21, 2022",2028-03-31,67,350.00
Health,India's Enhanced Health Service Delivery Program,P178146,Active,"June 28, 2022",2027-06-30,60,500.00
Health,PHSPP: Transforming India’s Public Health Systems for Pandemic Preparedness Program,P175676,Active,"June 28, 2022",2027-12-31,67,500.00
Health,India State Support Program for Road Safety,P177668,Active,"June 24, 2022",2028-06-30,73,250.00
Health,Chennai City Partnership: Sustainable Urban Services Program,P175221,Active,"September 30, 2021",2026-12-31,63,300.00
Health,Meghalaya Health Systems Strengthening Project,P173589,Active,"September 30, 2021",2027-03-31,66,40.00
Health,Mizoram Health Systems Strengthening Project,P173958,Active,"March 31, 2021",2026-03-31,60,32.00
Health,Andhra Pradesh Health Systems Strengthening Project,P167581,Active,"May 15, 2019",2024-09-30,65,328.00
Health,Program Towards Elimination of Tuberculosis,P167523,Active,"March 29, 2019",2024-06-30,64,400.00
Health,Tamil Nadu Health System Reform Program,P166373,Active,"March 19, 2019",2024-05-31,63,287.00
Health,Uttarakhand Health Systems Development Project,P148531,Active,"January 26, 2017",2024-12-31,96,100.00
Health,Nagaland Health Project,P149340,Active,"December 19, 2016",2023-12-31,85,48.00
Health,Jhelum and Tawi Flood Recovery Project,P154990,Active,"June 2, 2015",2023-12-31,104,250.00
