Sector,Project Title,Project ID,Project Status,Year,Closing Year,Duration(in months),Commitment Amount(in million),GDP in (Billion) $,Per Capita in rupees,Growth%
Waste Management,2nd DPL to Support Inclusive Green Growth and Sust Devlp in HP,P143032,Closed,2014,2014-11-30,6,100.0,2039.13,125920,7.41
Waste Management,India: National Cyclone Risk Mitigation Project (I) Additional Financing,P148870,Closed,2014,2023-12-28,118,104.0,2039.13,125920,7.41
Waste Management,IN AF UTTRAKHAND RWSS ADDITIONAL FINANCING,P148009,Closed,2014,2023-12-28,119,24.0,2039.13,125920,7.41
Waste Management,Odisha Disaster Recovery Project,P148868,Closed,2014,2020-06-30,77,153.0,2039.13,125920,7.41
Waste Management,Uttarakhand Disaster Recovery Project,P146653,Closed,2013,2023-09-30,120,250.0,1856.72,116000,6.39
Waste Management,IN Uttar Pradesh Water Sector Restructuring Project Phase 2,P122770,Closed,2013,2021-06-30,95,360.0,1856.72,116000,6.39
Waste Management,Tamil Nadu and Puducherry Coastal Disaster Risk Reduction Project,P143382,Closed,2013,2020-06-30,85,236.0,1856.72,116000,6.39
Waste Management,India - Bihar Panchayat Strengthening Project,P102627,Closed,2012,2019-12-30,88,84.0,1827.64,115520,5.46
Waste Management,IN Dam Rehabilitation and Improvement Project,P089985,Closed,2010,2021-03-31,130,279.3,1675.62,108640,8.5
Waste Management,India National Cyclone Risk Mitigation Project (1),P092217,Closed,2010,2018-12-31,103,255.0,1675.62,108640,8.5
Waste Management,Integrated Coastal Zone Management,P097985,Closed,2010,2020-06-30,122,221.96,1675.62,108640,8.5
Waste Management,Water Sector Improvement Project,P100954,Closed,2010,2018-07-28,99,450.6,1675.62,108640,8.5
Waste Management,India - Capacity Building for Industrial Pollution Management,P091031,Closed,2010,2018-03-31,95,25.21,1675.62,108640,8.5
Financial sector development,Industrial Export Project - Engineering Products,P009850,Closed,1985,1992-06-30,81,250.0,232.51,23680,5.25
Financial sector development,Industrial Credit and Investment Project (14),P009789,Closed,1981,1988-03-31,78,150.0,193.49,21600,6.01
Financial sector development,Industrial Credit and Investment Project (13),P009764,Closed,1980,1985-12-31,68,100.0,186.33,21360,6.74
Financial sector development,Industrial Development Bank of India Project,P009738,Closed,1978,1984-03-31,75,25.0,137.3,16480,5.71
Financial sector development,Industrial Credit and Investment Project (12),P009737,Closed,1977,1983-03-31,69,80.0,121.49,14880,7.25
Financial sector development,Industrial Development Bank of India Project (02),P009705,Closed,1976,1983-03-31,83,40.0,102.72,12880,1.66
Financial sector development,Industrial Credit Project (01),P009697,Closed,1975,1981-06-30,76,100.0,98.47,12640,9.15
Financial sector development,Industrial Credit Project (10),P009675,Closed,1973,1978-12-31,67,70.0,85.52,11520,3.3
Financial sector development,Industrial Development Bank of India Credit Project,P009674,Closed,1973,1979-09-30,81,25.0,85.52,11520,3.3
Financial sector development,Industrial Credit Project (09),P009663,Closed,1971,1976-12-31,63,60.0,67.35,9520,1.64
Financial sector development,Industrial Credit Project (08),P009649,Closed,1970,1974-09-30,52,40.0,62.42,8960,5.16
Financial sector development,Industrial Credit Project (07),P009642,Closed,1967,1973-12-31,76,25.0,50.13,7680,7.83
Financial sector development,Industrial Credit Project (06),P009632,Closed,1965,1973-06-30,98,50.0,59.55,9520,-2.64
Financial sector development,Industrial Credit Project (05),P009625,Closed,1963,1978-04-30,181,30.0,48.42,8080,5.99
Roads and highways,Technical Assistance for Infrastructure PPPs,P102499,Closed,2006,2008-06-30,21,0.0,940.26,64560,8.06
Roads and highways,Grand Trunk Road Improvement Project,P071244,Closed,2001,2008-06-30,85,589.0,485.44,36160,4.82
Roads and highways,KARNATAKA STATE HIGHWAYS IMPROVEMENT PROJECT,P070421,Closed,2001,2007-10-31,78,360.0,485.44,36160,4.82
Roads and highways,Madhya Pradesh District Poverty Initiatives Project,P059242,Closed,2000,2008-06-30,93,110.1,468.39,35440,3.84
Roads and highways,GUJARAT STATE HIGHWAY PROJECT,P010566,Closed,2000,2007-12-31,89,381.0,468.39,35440,3.84
Roads and highways,THIRD NATIONAL HIGHWAYS PROJECT,P009972,Closed,2000,2007-12-31,92,516.0,468.39,35440,3.84
Roads and highways,RAJASTHAN DISTRICT POVERTY INITIATIVES PROJECT,P010505,Closed,2000,2007-12-31,93,100.48,468.39,35440,3.84
Roads and highways,ANDHRA PRADESH DISTRICT POVERTY INITIATIVES PROJECT,P045049,Closed,2000,2006-12-31,81,111.0,468.39,35440,3.84
Roads and highways,INTEGRATED WATERSHED DEVELOPMENT PROJECT,P041264,Closed,1999,2005-09-30,76,85.0,458.82,35360,8.85
Roads and highways,Tamil Nadu Urban Development Project (02),P050637,Closed,1999,2004-11-30,67,105.0,458.82,35360,8.85
Roads and highways,Uttar Pradesh Sodic Lands Reclamation Project (02),P050646,Closed,1998,2007-09-30,107,194.1,421.35,33040,6.18
Roads and highways,Diversified Agricultural Support Project (DASP),P035824,Closed,1998,2004-03-31,70,79.9,421.35,33040,6.18
Roads and highways,Andhra Pradesh Economic Restructuring Project,P049385,Closed,1998,2006-03-31,94,301.3,421.35,33040,6.18
Roads and highways,Andhra Pradesh State Highway Project,P009995,Closed,1997,2004-06-30,85,350.0,415.87,33200,4.05
Roads and highways,Andhra Pradesh Hazard Mitigation and Emergency Cyclone Recovery Project,P049301,Closed,1997,2003-07-31,75,40.0,415.87,33200,4.05
Roads and highways,Private Infrastructure Finance (IL&FS) Project,P039935,Closed,1996,2001-09-30,67,31.0,392.9,32000,7.55
Roads and highways,Assam Rural Infrastructure and Agricultural Services Project,P010522,Closed,1995,2004-06-30,110,126.0,360.28,29920,7.57
Roads and highways,Bihar Plateau Development Project,P010408,Closed,1992,2000-06-30,92,117.0,288.21,25360,5.48
Roads and highways,Agricultural Development Project - Rajasthan,P010407,Closed,1992,2000-09-30,95,106.0,288.21,25360,5.48
Roads and highways,National Highway Project (02),P009946,Closed,1992,2002-12-31,129,153.0,288.21,25360,5.48
Health,Systems Reform Endeavours for Transformed Health Achievement in Gujarat (SRESTHA-G),P178252,Active,2022,2028-03-31,67,350.0,3385.09,193280,7.0
Health,India's Enhanced Health Service Delivery Program,P178146,Active,2022,2027-06-30,60,500.0,3385.09,193280,7.0
Health,PHSPP: Transforming India’s Public Health Systems for Pandemic Preparedness Program,P175676,Active,2022,2027-12-31,67,500.0,3385.09,193280,7.0
Health,India State Support Program for Road Safety,P177668,Active,2022,2028-06-30,73,250.0,3385.09,193280,7.0
Health,Chennai City Partnership: Sustainable Urban Services Program,P175221,Active,2021,2026-12-31,63,300.0,3173.4,182160,5.0
Health,Meghalaya Health Systems Strengthening Project,P173589,Active,2021,2027-03-31,66,40.0,3173.4,182160,5.0
Health,Mizoram Health Systems Strengthening Project,P173958,Active,2021,2026-03-31,60,32.0,3173.4,182160,5.0
Health,Andhra Pradesh Health Systems Strengthening Project,P167581,Active,2019,2024-09-30,65,328.0,2831.55,165760,3.74
Health,Program Towards Elimination of Tuberculosis,P167523,Active,2019,2024-06-30,64,400.0,2831.55,165760,3.74
Health,Tamil Nadu Health System Reform Program,P166373,Active,2019,2024-05-31,63,287.0,2831.55,165760,3.74
Health,Uttarakhand Health Systems Development Project,P148531,Active,2017,2024-12-31,96,100.0,2651.47,158480,6.8
Health,Nagaland Health Project,P149340,Active,2016,2023-12-31,85,48.0,2294.8,138640,8.26
Health,Jhelum and Tawi Flood Recovery Project,P154990,Active,2015,2023-12-31,104,250.0,2103.59,128480,8.0
